Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Мазуров Дмитрий: Теневой путь. Т. 7: Тень Древнего,1 444 ₽,Дмитрий Мазуров,Теневой путь,Русское фэнтези,RUGRAM,978-5-517-07562-8,16+,2022,306,Твёрдый переплёт,Нет данных,140x220  мм,0.50  кг
Мазуров Дмитрий: Теневой путь. Т. 8: Тень вторжения,1 444 ₽,Дмитрий Мазуров,Теневой путь,Русское фэнтези,RUGRAM,978-5-517-07563-5,16+,2022,306,Твёрдый переплёт,Нет данных,153x216  мм,0.48  кг
"Осинская Татьяна, Эльба Ирина: Школа сказок",1 444 ₽,"Татьяна Осинская, Ирина Эльба",Сказочный мир,Русское фэнтези,RUGRAM,978-5-517-08187-2,16+,2022,312,Твёрдый переплёт,Нет данных,153x217  мм,0.43  кг
Дель Мирах Кассия: За гранью памяти души,331 ₽,Кассия Дель Мирах,Нет данных,Русское фэнтези,Нет данных,978-5-4491-1306-1,16+,2022,74,Мягкий переплёт,Нет данных,130x200  мм,0.10  кг
Чернышова Алиса: Пара для дракона. Просто летим домой. Просто добавь воды,1 699 ₽,Алиса Чернышова,Пара для дракона,Русское фэнтези,Нет данных,978-5-517-07675-5,16+,2022,370,Твёрдый переплёт,Нет данных,151x213  мм,0.55  кг
Коростышевская Татьяна Георгиевна: Владычица ветра. Кн. 3: Мать четырех ветров,2 124 ₽,Татьяна Коростышевская,Владычица ветра,Русское фэнтези,RUGRAM,978-5-517-06978-8,16+,2022,494,Твёрдый переплёт,Нет данных,153x217  мм,0.71  кг
Евтеева Екатерина: Телохранитель его величества,1 699 ₽,Екатерина Евтеева,Хроники пяти королевств,Русское фэнтези,Нет данных,978-5-517-06333-5,16+,2022,350,Твёрдый переплёт,Нет данных,155x220  мм,0.53  кг
Нема Полина: Курортный роман по-драконьи,1 699 ₽,Полина Нема,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06845-3,16+,2022,370,Твёрдый переплёт,Нет данных,153x216  мм,0.56  кг
Огненная Любовь: Невеста на полчаса,1 232 ₽,Любовь Огненная,Драконы Поднебесной,Русское фэнтези,Нет данных,978-5-517-07029-6,16+,2022,224,Твёрдый переплёт,Нет данных,152x215  мм,0.38  кг
Рис Кларисса: Сверхъестественный отбор,1 274 ₽,Кларисса Рис,Нет данных,Русское фэнтези,Нет данных,978-5-517-07064-7,18+,2022,330,Твёрдый переплёт,Нет данных,153x217  мм,0.51  кг
Зарецкий Максим Андреевич: Седьмой. Кн. 1,1 232 ₽,Максим Зарецкий,Нет данных,Русское фэнтези,Нет данных,978-5-517-07624-3,16+,2022,262,Твёрдый переплёт,Нет данных,151x215  мм,0.42  кг
Коулл Вергилия: Белые волки. Кн. 2,1 614 ₽,Вергилия Коулл,Белые волки,Русское фэнтези,Нет данных,978-5-517-07060-9,18+,2022,350,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Миленина Лидия: Золушка из подземелья,1 614 ₽,Лидия Миленина,Нет данных,Русское фэнтези,Нет данных,978-5-517-07056-2,16+,2022,360,Твёрдый переплёт,Нет данных,151x215  мм,0.57  кг
Нелин Дмитрий Васильевич: Охотник на читеров. Кн. 7: Путь Спящих,2 549 ₽,Дмитрий Нелин,Охотник на читеров,Русское фэнтези,RUGRAM,978-5-517-06977-1,18+,2022,634,Твёрдый переплёт,Нет данных,153x217  мм,0.88  кг
Серебряков Дмитрий: Система. Хранитель. Кн. 2,2 634 ₽,Дмитрий Серебряков,Система. Рипол,Русское фэнтези,RUGRAM,978-5-517-06974-0,16+,2022,580,Твёрдый переплёт,Нет данных,153x217  мм,0.81  кг
"Янук Елена Федоровна: Ух, началось!",1 444 ₽,Елена Янук,"Он большой, пушистый, сильный",Русское фэнтези,RUGRAM,978-5-517-07869-8,16+,2022,348,Твёрдый переплёт,Нет данных,152x215  мм,0.53  кг
Карпин Дмитрий: Волк. Тайна Черной Пирамиды,1 869 ₽,Дмитрий Карпин,Волк,Русское фэнтези,Нет данных,978-5-517-08084-4,16+,2022,402,Твёрдый переплёт,Нет данных,153x217  мм,0.60  кг
"Фишер Лина: Все для вас, Босс!",1 529 ₽,Лина Фишер,Нет данных,Русское фэнтези,Нет данных,978-5-517-08001-1,18+,2022,268,Твёрдый переплёт,Нет данных,150x215  мм,0.43  кг
Борисов Е.: Песня стихий,2 039 ₽,Е. Борисов,Нет данных,Русское фэнтези,Нет данных,978-5-517-07752-3,16+,2022,472,Твёрдый переплёт,Нет данных,155x220  мм,0.68  кг
Кагорова София: Академия Марбадон. Абсолютное Зло,1 444 ₽,София Кагорова,Нет данных,Русское фэнтези,Нет данных,978-5-517-08087-5,18+,2022,338,Твёрдый переплёт,Нет данных,153x215  мм,0.45  кг
Шатров Дмитрий: Миры Артема Каменистого. S-T-I-K-S. Везунчик из Пекла или в поисках золотой жемчужины,1 614 ₽,Дмитрий Шатров,Миры Артёма Каменистого. S-T-I-K-S,Русское фэнтези,RUGRAM,978-5-517-08216-9,18+,2022,326,Твёрдый переплёт,Нет данных,153x217  мм,0.50  кг
Май Татьяна: Невеста последнего дракона,1 529 ₽,Татьяна Май,Нет данных,Русское фэнтези,Нет данных,978-5-517-07123-1,16+,2022,266,Твёрдый переплёт,Нет данных,155x220  мм,0.43  кг
Перова Ксения: Обезглавленное древо. Кн. 3: Тайны ратоборца,1 359 ₽,Перова Ксения,Обезглавленное древо,Русское фэнтези,RUGRAM,978-5-517-06916-0,16+,2022,308,Твёрдый переплёт,Нет данных,152x215  мм,0.48  кг
Авилова Алла: Откровение огня: роман,1 869 ₽,Алла Авилова,Пальмира - роман,Русское фэнтези,Нет данных,978-5-517-03613-1,16+,2022,526,Твёрдый переплёт,Нет данных,153x217  мм,0.65  кг
Май Татьяна: Светлая для темного. Кн. 2,1 699 ₽,Татьяна Май,Светлая для темного,Русское фэнтези,Нет данных,978-5-517-07581-9,16+,2022,364,Твёрдый переплёт,Нет данных,153x217  мм,0.55  кг
